Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,6.0,0.4625,"card, platforms, security, credit, merchants, debit, transport, cashless, retailers, interchange",card domain transaction acquirers issuers extent impacting trionis ceo verbeek
1,0.0,0.2605,"account, fintech, future, wallet, ecosystem, psd2, device, pay, core, tools",technology innovation fintech boundaries frontline cognitive experiments speed need journey
2,4.0,0.3896,"fraud, security, prevention, losses, cent, cyber, interventions, frameworks, detection, incentives",technology security segmentation device shifts pace transformation globe mobility concerns
3,1.0,0.5975,"realtime, infrastructure, platform, focuses, stability, highlights, clearing, resolution, governments, hence",innovation layer transformation layers lasting hence generation investment framework customs
4,8.0,0.2995,"framework, india, preference, gdp, remittance, transition, consumption, channels, enhance, reserve",infrastructure shape reliability roles bodies outlines actions position ways conclusions
5,1.0,0.525,"realtime, infrastructure, platform, focuses, stability, highlights, clearing, resolution, governments, hence",realtime delivery variety trading processing endtoend connections face impacts intermediaries
6,3.0,0.4826,"infrastructure, risk, swift, framework, migration, lei, correspondent, needs, crossborder, standard",infrastructure p2p bank comparisons peertopeer debate versus consequences attempts usa
7,7.0,0.7047,"describes, cbdc, government, transformation, challenge, protection, infrastructure, smes, evolution, players",government situation vote bank brink brexit explains steps buyers constraints
8,4.0,0.7633,"fraud, security, prevention, losses, cent, cyber, interventions, frameworks, detection, incentives",fraud security prevention partnership cyber dutch describes limits statistics relation
9,4.0,0.5887,"fraud, security, prevention, losses, cent, cyber, interventions, frameworks, detection, incentives",fraud victims staff tactics cashless vulnerability ill routine withdrawal stringent
10,0.0,0.5318,"account, fintech, future, wallet, ecosystem, psd2, device, pay, core, tools",prepaid pay merchants banktransfer minority highnetworth comprise cashpayments provide mobile
11,6.0,0.4417,"card, platforms, security, credit, merchants, debit, transport, cashless, retailers, interchange",card diligence credit criminals crime front acquirers mass internet gain
12,6.0,0.9493,"card, platforms, security, credit, merchants, debit, transport, cashless, retailers, interchange",card security debit ratings breach credit perceptions rating assessments difference
13,0.0,0.3358,"account, fintech, future, wallet, ecosystem, psd2, device, pay, core, tools",alignment infrastructure analyses reserve transition rails disrupt emerge operator innovation
14,2.0,0.5284,"asset, dlt, processes, blockchain, relationships, distribution, cycle, identification, combination, economics",bank technology blockchain dlt innovation ledger aka production reflection secure
15,0.0,0.8372,"account, fintech, future, wallet, ecosystem, psd2, device, pay, core, tools",wallet pricing digital benefit foundations utility provide candidates demonetisation mobile
16,6.0,0.4962,"card, platforms, security, credit, merchants, debit, transport, cashless, retailers, interchange",transport collection future transit hce fare multiapplication discuss scope meet
17,9.0,0.4177,"online, create, secure, explores, argues, eu, form, need, crime, trust",confidentiality login shows vulnerabilities client navigation proves websites techniques tools
18,5.0,0.6261,"scheme, euro, schemes, credit, rtgs, instant, psps, transfer, sepa, sct",scheme transfer credit council highlights convenient sepa encourages difficulties force
19,0.0,0.7005,"account, fintech, future, wallet, ecosystem, psd2, device, pay, core, tools",account savings phone continent greg month subscribers mpesa africa device
20,4.0,0.4263,"fraud, security, prevention, losses, cent, cyber, interventions, frameworks, detection, incentives",security institution servers machines vulnerabilities guidelines cyber ledger days community
21,8.0,0.4173,"framework, india, preference, gdp, remittance, transition, consumption, channels, enhance, reserve",technology maturity transfer transform continue mechanisms date discussions possibility frameworks
22,7.0,0.6832,"describes, cbdc, government, transformation, challenge, protection, infrastructure, smes, evolution, players",innovation diffusion integration increase explores needssolutions result accrue innovator range
23,7.0,0.2583,"describes, cbdc, government, transformation, challenge, protection, infrastructure, smes, evolution, players",bank transaction iot insurance become device turn internet evolution capability
24,7.0,0.7846,"describes, cbdc, government, transformation, challenge, protection, infrastructure, smes, evolution, players",bank dcash currency evolution backdrop equivalent transparency extension anonymity retail
