Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,5.0,0.6345,"card, credit, scheme, platforms, transfer, debit, instant, merchant, psps, interchange",card domain transaction acquirers issuers extent impacting trionis ceo verbeek
1,6.0,0.2542,"account, fintech, wallet, future, psd2, device, merchants, analyses, challenge, interest",technology innovation fintech boundaries frontline cognitive experiments speed need journey
2,6.0,0.2679,"account, fintech, wallet, future, psd2, device, merchants, analyses, challenge, interest",technology security segmentation device shifts pace transformation globe mobility concerns
3,4.0,0.3506,"risk, focuses, resolution, eu, governance, need, activities, identifies, highlights, staff",innovation layer transformation layers lasting hence generation investment framework customs
4,7.0,0.5694,"infrastructure, realtime, framework, describes, processes, speed, remittance, crossborder, core, stability",infrastructure shape reliability roles bodies outlines actions position ways conclusions
5,7.0,0.8736,"infrastructure, realtime, framework, describes, processes, speed, remittance, crossborder, core, stability",realtime delivery variety trading processing endtoend connections face impacts intermediaries
6,7.0,0.6351,"infrastructure, realtime, framework, describes, processes, speed, remittance, crossborder, core, stability",infrastructure p2p bank comparisons peertopeer debate versus consequences attempts usa
7,9.0,0.426,"government, reserve, rtgs, india, cashless, preference, gdp, transition, china, consumption",government situation vote bank brink brexit explains steps buyers constraints
8,2.0,0.7873,"fraud, security, prevention, losses, cent, cyber, threats, dutch, maintain, attacks",fraud security prevention partnership cyber dutch describes limits statistics relation
9,4.0,0.5053,"risk, focuses, resolution, eu, governance, need, activities, identifies, highlights, staff",fraud victims staff tactics cashless vulnerability ill routine withdrawal stringent
10,1.0,0.3769,"ecosystem, platform, transformation, online, pay, secure, transport, protection, future, digital",prepaid pay merchants banktransfer minority highnetworth comprise cashpayments provide mobile
11,5.0,0.4302,"card, credit, scheme, platforms, transfer, debit, instant, merchant, psps, interchange",card diligence credit criminals crime front acquirers mass internet gain
12,5.0,0.7549,"card, credit, scheme, platforms, transfer, debit, instant, merchant, psps, interchange",card security debit ratings breach credit perceptions rating assessments difference
13,7.0,0.2685,"infrastructure, realtime, framework, describes, processes, speed, remittance, crossborder, core, stability",alignment infrastructure analyses reserve transition rails disrupt emerge operator innovation
14,8.0,0.5131,"asset, dlt, create, blockchain, schemes, form, cryptocurrencies, choices, claims, power",bank technology blockchain dlt innovation ledger aka production reflection secure
15,6.0,0.5504,"account, fintech, wallet, future, psd2, device, merchants, analyses, challenge, interest",wallet pricing digital benefit foundations utility provide candidates demonetisation mobile
16,1.0,0.4465,"ecosystem, platform, transformation, online, pay, secure, transport, protection, future, digital",transport collection future transit hce fare multiapplication discuss scope meet
17,1.0,0.4092,"ecosystem, platform, transformation, online, pay, secure, transport, protection, future, digital",confidentiality login shows vulnerabilities client navigation proves websites techniques tools
18,5.0,0.7301,"card, credit, scheme, platforms, transfer, debit, instant, merchant, psps, interchange",scheme transfer credit council highlights convenient sepa encourages difficulties force
19,6.0,0.6166,"account, fintech, wallet, future, psd2, device, merchants, analyses, challenge, interest",account savings phone continent greg month subscribers mpesa africa device
20,2.0,0.3582,"fraud, security, prevention, losses, cent, cyber, threats, dutch, maintain, attacks",security institution servers machines vulnerabilities guidelines cyber ledger days community
21,8.0,0.3963,"asset, dlt, create, blockchain, schemes, form, cryptocurrencies, choices, claims, power",technology maturity transfer transform continue mechanisms date discussions possibility frameworks
22,6.0,0.6586,"account, fintech, wallet, future, psd2, device, merchants, analyses, challenge, interest",innovation diffusion integration increase explores needssolutions result accrue innovator range
23,6.0,0.4055,"account, fintech, wallet, future, psd2, device, merchants, analyses, challenge, interest",bank transaction iot insurance become device turn internet evolution capability
24,3.0,0.3806,"swift, risk, migration, correspondent, lei, needs, relationships, place, versus, gpi",bank dcash currency evolution backdrop equivalent transparency extension anonymity retail
25,9.0,0.7702,"government, reserve, rtgs, india, cashless, preference, gdp, transition, china, consumption",transaction goal india digital statistics rogers curve taxation strengthening government
26,5.0,0.3982,"card, credit, scheme, platforms, transfer, debit, instant, merchant, psps, interchange",transaction liberalisation yugoslav republics volumes neighbouring interconnectivity balkans challenge balkan
27,1.0,0.683,"ecosystem, platform, transformation, online, pay, secure, transport, protection, future, digital",transport gap businesstobusiness functionality enhancement mobile studies lack form kinds
28,9.0,0.4603,"government, reserve, rtgs, india, cashless, preference, gdp, transition, china, consumption",china government share key interfaces education size pointofsale cashless influences
29,9.0,0.6553,"government, reserve, rtgs, india, cashless, preference, gdp, transition, china, consumption",consumption gdp card transition zandi debit kuwait penetration focuses percentage
30,4.0,0.8551,"risk, focuses, resolution, eu, governance, need, activities, identifies, highlights, staff",resolution continuity phase functions bank events risk actions improvements extent
31,6.0,0.603,"account, fintech, wallet, future, psd2, device, merchants, analyses, challenge, interest",bank sales challenge transition analyses processes interest worldwide interface plays
32,1.0,0.4041,"ecosystem, platform, transformation, online, pay, secure, transport, protection, future, digital",bonds japan government bank exchange innovation understand shortening introduce delivery
33,0.0,0.7151,"euro, cbdc, trust, clearing, privacy, perspectives, house, countrys, m2m, vs",m2m machines behalf machinetomachine images dlt consideration opinion worth tolls
34,7.0,0.6509,"infrastructure, realtime, framework, describes, processes, speed, remittance, crossborder, core, stability",tips paneuropean citizens futureproof incentive facilitates develop deals bank infrastructure
35,7.0,0.317,"infrastructure, realtime, framework, describes, processes, speed, remittance, crossborder, core, stability",processing instant infrastructure euro aim sepa layer check transfer present
36,3.0,0.6066,"swift, risk, migration, correspondent, lei, needs, relationships, place, versus, gpi",swift gpi innovation standard treasury suggestions roches deutsche solutionthis story
37,1.0,0.6559,"ecosystem, platform, transformation, online, pay, secure, transport, protection, future, digital",digitisation roadmap side projects flexibility knowhow ideas bring functionality watch
38,1.0,0.4353,"ecosystem, platform, transformation, online, pay, secure, transport, protection, future, digital",psd2 bank platform keystone transform interconnection enhancement protection legislation integration
39,3.0,0.6844,"swift, risk, migration, correspondent, lei, needs, relationships, place, versus, gpi",bank lei diligence correspondent swift tackles processes causes embrace locations
40,6.0,0.4842,"account, fintech, wallet, future, psd2, device, merchants, analyses, challenge, interest",technology modalities biometrics capture challenge today face tool authentication inperson
41,6.0,0.2985,"account, fintech, wallet, future, psd2, device, merchants, analyses, challenge, interest",transaction government sales players interest purchases directive viewpoints uniform pay
